TIMESTAMP: 5.100000, X: -4.779782, Y: 16.896495, Z: -10.807809, PITCH: -0.002305, YAW: -1.113251
TIMESTAMP: 5.200000, X: -4.900408, Y: 16.847192, Z: -10.745820, PITCH: -0.002328, YAW: -1.124220
TIMESTAMP: 5.300000, X: -5.023986, Y: 16.796725, Z: -10.682032, PITCH: -0.002352, YAW: -1.135727
TIMESTAMP: 5.400000, X: -5.150305, Y: 16.744947, Z: -10.616589, PITCH: -0.002371, YAW: -1.145041
TIMESTAMP: 5.500000, X: -5.279136, Y: 16.691696, Z: -10.549652, PITCH: -0.002388, YAW: -1.152963
TIMESTAMP: 5.600000, X: -5.410234, Y: 16.636796, Z: -10.481394, PITCH: -0.002414, YAW: -1.165920
TIMESTAMP: 5.700000, X: -5.543342, Y: 16.580058, Z: -10.411997, PITCH: -0.002459, YAW: -1.188048
TIMESTAMP: 5.800000, X: -5.678189, Y: 16.521283, Z: -10.341658, PITCH: -0.002516, YAW: -1.215133
TIMESTAMP: 5.900000, X: -5.814491, Y: 16.460260, Z: -10.270581, PITCH: -0.002571, YAW: -1.240773
TIMESTAMP: 6.000000, X: -5.951954, Y: 16.396771, Z: -10.198979, PITCH: -0.002618, YAW: -1.264235
TIMESTAMP: 6.100000, X: -6.090278, Y: 16.330592, Z: -10.127072, PITCH: -0.002665, YAW: -1.288251
TIMESTAMP: 6.200000, X: -6.229152, Y: 16.261496, Z: -10.055085, PITCH: -0.002720, YAW: -1.313383
TIMESTAMP: 6.300000, X: -6.368260, Y: 16.189255, Z: -9.983247, PITCH: -0.002776, YAW: -1.338246
TIMESTAMP: 6.400000, X: -6.507285, Y: 16.113641, Z: -9.911790, PITCH: -0.002821, YAW: -1.362508
TIMESTAMP: 6.500000, X: -6.645903, Y: 16.034431, Z: -9.840944, PITCH: -0.002864, YAW: -1.386903
TIMESTAMP: 6.600000, X: -6.783795, Y: 15.951411, Z: -9.770942, PITCH: -0.002923, YAW: -1.411645
TIMESTAMP: 6.700000, X: -6.920639, Y: 15.864373, Z: -9.702008, PITCH: -0.002990, YAW: -1.436331
TIMESTAMP: 6.800000, X: -7.056120, Y: 15.773122, Z: -9.634365, PITCH: -0.003025, YAW: -1.460775
TIMESTAMP: 6.900000, X: -7.189926, Y: 15.677480, Z: -9.568227, PITCH: -0.003046, YAW: -1.485225
TIMESTAMP: 7.000000, X: -7.321754, Y: 15.577284, Z: -9.503801, PITCH: -0.003127, YAW: -1.509911
TIMESTAMP: 7.100000, X: -7.451307, Y: 15.472393, Z: -9.441282, PITCH: -0.003233, YAW: -1.534640
TIMESTAMP: 7.200000, X: -7.578301, Y: 15.362687, Z: -9.380852, PITCH: -0.003227, YAW: -1.559040
TIMESTAMP: 7.300000, X: -7.702463, Y: 15.248072, Z: -9.322680, PITCH: -0.003176, YAW: -1.583330
TIMESTAMP: 7.400000, X: -7.823533, Y: 15.128480, Z: -9.266921, PITCH: -0.003332, YAW: -1.608180
TIMESTAMP: 7.500000, X: -7.941268, Y: 15.003871, Z: -9.213709, PITCH: -0.003575, YAW: -1.633253
TIMESTAMP: 7.600000, X: -8.055438, Y: 14.874238, Z: -9.163164, PITCH: -0.003428, YAW: -1.657299
TIMESTAMP: 7.700000, X: -8.165832, Y: 14.739602, Z: -9.115383, PITCH: -0.003116, YAW: -1.680912
TIMESTAMP: 7.800000, X: -8.272257, Y: 14.600019, Z: -9.070444, PITCH: -0.003540, YAW: -1.706459
TIMESTAMP: 7.900000, X: -8.374538, Y: 14.455578, Z: -9.028404, PITCH: -0.004237, YAW: -1.732720
TIMESTAMP: 8.000000, X: -8.472519, Y: 14.306400, Z: -8.989294, PITCH: -0.002941, YAW: -1.753751
TIMESTAMP: 8.100000, X: -8.566064, Y: 14.152643, Z: -8.953128, PITCH: 0.001280, YAW: -1.767096
TIMESTAMP: 8.200000, X: -8.655057, Y: 13.994495, Z: -8.919891, PITCH: 0.006546, YAW: -1.777692
TIMESTAMP: 8.300000, X: -8.739401, Y: 13.832178, Z: -8.889550, PITCH: 0.011010, YAW: -1.790396
TIMESTAMP: 8.400000, X: -8.819016, Y: 13.665943, Z: -8.862045, PITCH: 0.014948, YAW: -1.804490
TIMESTAMP: 8.500000, X: -8.893842, Y: 13.496073, Z: -8.837294, PITCH: 0.019255, YAW: -1.817615
TIMESTAMP: 8.600000, X: -8.963837, Y: 13.322877, Z: -8.815195, PITCH: 0.023835, YAW: -1.830002
TIMESTAMP: 8.700000, X: -9.028973, Y: 13.146688, Z: -8.795622, PITCH: 0.028225, YAW: -1.842888
TIMESTAMP: 8.800000, X: -9.089240, Y: 12.967864, Z: -8.778430, PITCH: 0.032476, YAW: -1.856186
TIMESTAMP: 8.900000, X: -9.144640, Y: 12.786780, Z: -8.763452, PITCH: 0.036827, YAW: -1.869214
TIMESTAMP: 9.000000, X: -9.195190, Y: 12.603830, Z: -8.750506, PITCH: 0.041240, YAW: -1.881992
TIMESTAMP: 9.100000, X: -9.240916, Y: 12.419420, Z: -8.739389, PITCH: 0.045602, YAW: -1.894919
TIMESTAMP: 9.200000, X: -9.281858, Y: 12.233968, Z: -8.729884, PITCH: 0.049953, YAW: -1.908040
TIMESTAMP: 9.300000, X: -9.318061, Y: 12.047900, Z: -8.721760, PITCH: 0.054326, YAW: -1.921070
TIMESTAMP: 9.400000, X: -9.349581, Y: 11.861644, Z: -8.714772, PITCH: 0.058666, YAW: -1.933885
TIMESTAMP: 9.500000, X: -9.376479, Y: 11.675630, Z: -8.708664, PITCH: 0.063003, YAW: -1.946774
TIMESTAMP: 9.600000, X: -9.398822, Y: 11.490284, Z: -8.703171, PITCH: 0.067425, YAW: -1.959964
TIMESTAMP: 9.700000, X: -9.416680, Y: 11.306030, Z: -8.698019, PITCH: 0.071789, YAW: -1.972937
TIMESTAMP: 9.800000, X: -9.430127, Y: 11.123280, Z: -8.692929, PITCH: 0.075829, YAW: -1.984942
TIMESTAMP: 9.900000, X: -9.439241, Y: 10.942436, Z: -8.687617, PITCH: 0.079611, YAW: -1.996197
TIMESTAMP: 10.000000, X: -9.444100, Y: 10.763885, Z: -8.681798, PITCH: 0.083423, YAW: -2.007531
TIMESTAMP: 10.100000, X: -9.444784, Y: 10.587997, Z: -8.675183, PITCH: 0.087340, YAW: -2.019183
TIMESTAMP: 10.200000, X: -9.441375, Y: 10.415123, Z: -8.667488, PITCH: 0.091244, YAW: -2.030812
TIMESTAMP: 10.300000, X: -9.433956, Y: 10.245594, Z: -8.658429, PITCH: 0.095105, YAW: -2.042284
TIMESTAMP: 10.400000, X: -9.422608, Y: 10.079715, Z: -8.647727, PITCH: 0.098981, YAW: -2.053770
TIMESTAMP: 10.500000, X: -9.407417, Y: 9.917769, Z: -8.635112, PITCH: 0.102860, YAW: -2.065330
TIMESTAMP: 10.600000, X: -9.388468, Y: 9.760010, Z: -8.620317, PITCH: 0.106715, YAW: -2.076877
TIMESTAMP: 10.700000, X: -9.365847, Y: 9.606664, Z: -8.603090, PITCH: 0.110605, YAW: -2.088399
TIMESTAMP: 10.800000, X: -9.339642, Y: 9.457929, Z: -8.583186, PITCH: 0.114538, YAW: -2.099942
TIMESTAMP: 10.900000, X: -9.309943, Y: 9.313972, Z: -8.560375, PITCH: 0.118384, YAW: -2.111468
TIMESTAMP: 11.000000, X: -9.276843, Y: 9.174928, Z: -8.534440, PITCH: 0.122151, YAW: -2.122959
TIMESTAMP: 11.100000, X: -9.240435, Y: 9.040903, Z: -8.505179, PITCH: 0.126091, YAW: -2.134513
TIMESTAMP: 11.200000, X: -9.200817, Y: 8.911967, Z: -8.472408, PITCH: 0.130179, YAW: -2.146132
TIMESTAMP: 11.300000, X: -9.158089, Y: 8.788160, Z: -8.435959, PITCH: 0.133938, YAW: -2.157615
TIMESTAMP: 11.400000, X: -9.112354, Y: 8.669491, Z: -8.395685, PITCH: 0.137420, YAW: -2.168979
TIMESTAMP: 11.500000, X: -9.063719, Y: 8.555933, Z: -8.351456, PITCH: 0.141522, YAW: -2.180606
TIMESTAMP: 11.600000, X: -9.012294, Y: 8.447429, Z: -8.303164, PITCH: 0.146061, YAW: -2.192421
TIMESTAMP: 11.700000, X: -8.958194, Y: 8.343891, Z: -8.250723, PITCH: 0.148869, YAW: -2.203494
TIMESTAMP: 11.800000, X: -8.901536, Y: 8.245201, Z: -8.194065, PITCH: 0.148761, YAW: -2.213317
TIMESTAMP: 11.900000, X: -8.842441, Y: 8.151209, Z: -8.133149, PITCH: 0.147471, YAW: -2.222636
TIMESTAMP: 12.000000, X: -8.781033, Y: 8.061739, Z: -8.067951, PITCH: 0.146950, YAW: -2.232285
TIMESTAMP: 12.100000, X: -8.717438, Y: 7.976587, Z: -7.998473, PITCH: 0.147014, YAW: -2.242179
TIMESTAMP: 12.200000, X: -8.651786, Y: 7.895521, Z: -7.924737, PITCH: 0.146728, YAW: -2.251923
TIMESTAMP: 12.300000, X: -8.584206, Y: 7.818290, Z: -7.846788, PITCH: 0.146135, YAW: -2.261547
TIMESTAMP: 12.400000, X: -8.514830, Y: 7.744615, Z: -7.764691, PITCH: 0.145722, YAW: -2.271247
TIMESTAMP: 12.500000, X: -8.443789, Y: 7.674202, Z: -7.678533, PITCH: 0.145473, YAW: -2.280996
TIMESTAMP: 12.600000, X: -8.371215, Y: 7.606735, Z: -7.588421, PITCH: 0.145129, YAW: -2.290705
TIMESTAMP: 12.700000, X: -8.297239, Y: 7.541884, Z: -7.494483, PITCH: 0.144696, YAW: -2.300418
TIMESTAMP: 12.800000, X: -8.221988, Y: 7.479304, Z: -7.396863, PITCH: 0.144314, YAW: -2.310149
TIMESTAMP: 12.900000, X: -8.145590, Y: 7.418639, Z: -7.295726, PITCH: 0.143981, YAW: -2.319824
TIMESTAMP: 13.000000, X: -8.068170, Y: 7.359523, Z: -7.191253, PITCH: 0.143620, YAW: -2.329495
TIMESTAMP: 13.100000, X: -7.989848, Y: 7.301586, Z: -7.083640, PITCH: 0.143231, YAW: -2.339293
TIMESTAMP: 13.200000, X: -7.910744, Y: 7.244450, Z: -6.973099, PITCH: 0.142858, YAW: -2.349080
TIMESTAMP: 13.300000, X: -7.830972, Y: 7.187739, Z: -6.859856, PITCH: 0.142502, YAW: -2.358641
TIMESTAMP: 13.400000, X: -7.750645, Y: 7.131073, Z: -6.744148, PITCH: 0.142131, YAW: -2.368383
TIMESTAMP: 13.500000, X: -7.669871, Y: 7.074081, Z: -6.626225, PITCH: 0.141728, YAW: -2.378943
TIMESTAMP: 13.600000, X: -7.588757, Y: 7.016394, Z: -6.506346, PITCH: 0.141307, YAW: -2.390085
TIMESTAMP: 13.700000, X: -7.507408, Y: 6.957652, Z: -6.384779, PITCH: 0.140891, YAW: -2.401096
TIMESTAMP: 13.800000, X: -7.425927, Y: 6.897506, Z: -6.261800, PITCH: 0.140482, YAW: -2.411849
TIMESTAMP: 13.900000, X: -7.344418, Y: 6.835620, Z: -6.137688, PITCH: 0.140071, YAW: -2.422658
TIMESTAMP: 14.000000, X: -7.262985, Y: 6.771675, Z: -6.012731, PITCH: 0.139657, YAW: -2.433587
TIMESTAMP: 14.100000, X: -7.181733, Y: 6.705366, Z: -5.887217, PITCH: 0.139244, YAW: -2.444482
TIMESTAMP: 14.200000, X: -7.100772, Y: 6.636411, Z: -5.761437, PITCH: 0.138832, YAW: -2.455337
TIMESTAMP: 14.300000, X: -7.020215, Y: 6.564549, Z: -5.635682, PITCH: 0.138418, YAW: -2.466222
TIMESTAMP: 14.400000, X: -6.940182, Y: 6.489542, Z: -5.510243, PITCH: 0.138006, YAW: -2.477085
TIMESTAMP: 14.500000, X: -6.860797, Y: 6.411179, Z: -5.385407, PITCH: 0.137596, YAW: -2.487908
TIMESTAMP: 14.600000, X: -6.782195, Y: 6.329275, Z: -5.261461, PITCH: 0.137182, YAW: -2.498824
TIMESTAMP: 14.700000, X: -6.704515, Y: 6.243675, Z: -5.138683, PITCH: 0.136765, YAW: -2.509802
TIMESTAMP: 14.800000, X: -6.627910, Y: 6.154253, Z: -5.017348, PITCH: 0.136356, YAW: -2.520584
TIMESTAMP: 14.900000, X: -6.552538, Y: 6.060915, Z: -4.897724, PITCH: 0.135948, YAW: -2.531325
TIMESTAMP: 15.000000, X: -6.478569, Y: 5.963598, Z: -4.780069, PITCH: 0.135517, YAW: -2.542696
TIMESTAMP: 15.100000, X: -6.406182, Y: 5.862275, Z: -4.664634, PITCH: 0.135056, YAW: -2.554843
TIMESTAMP: 15.200000, X: -6.335567, Y: 5.756951, Z: -4.551659, PITCH: 0.134590, YAW: -2.567123
TIMESTAMP: 15.300000, X: -6.266919, Y: 5.647663, Z: -4.441373, PITCH: 0.134135, YAW: -2.579128
TIMESTAMP: 15.400000, X: -6.200445, Y: 5.534485, Z: -4.333992, PITCH: 0.133682, YAW: -2.591067
TIMESTAMP: 15.500000, X: -6.136355, Y: 5.417525, Z: -4.229723, PITCH: 0.133224, YAW: -2.603131
TIMESTAMP: 15.600000, X: -6.074866, Y: 5.296923, Z: -4.128756, PITCH: 0.132766, YAW: -2.615206
TIMESTAMP: 15.700000, X: -6.016197, Y: 5.172853, Z: -4.031270, PITCH: 0.132309, YAW: -2.627235
TIMESTAMP: 15.800000, X: -5.960572, Y: 5.045522, Z: -3.937428, PITCH: 0.131851, YAW: -2.639303
TIMESTAMP: 15.900000, X: -5.908210, Y: 4.915168, Z: -3.847380, PITCH: 0.131394, YAW: -2.651361
TIMESTAMP: 16.000000, X: -5.859331, Y: 4.782060, Z: -3.761259, PITCH: 0.130940, YAW: -2.663312
TIMESTAMP: 16.100000, X: -5.814149, Y: 4.646494, Z: -3.679185, PITCH: 0.130484, YAW: -2.675336
TIMESTAMP: 16.200000, X: -5.772874, Y: 4.508796, Z: -3.601259, PITCH: 0.130020, YAW: -2.687573
TIMESTAMP: 16.300000, X: -5.735703, Y: 4.369315, Z: -3.527568, PITCH: 0.129562, YAW: -2.699645
TIMESTAMP: 16.400000, X: -5.702826, Y: 4.228424, Z: -3.458184, PITCH: 0.129118, YAW: -2.711335
TIMESTAMP: 16.500000, X: -5.674417, Y: 4.086519, Z: -3.393160, PITCH: 0.128662, YAW: -2.723356
TIMESTAMP: 16.600000, X: -5.650638, Y: 3.944013, Z: -3.332533, PITCH: 0.128189, YAW: -2.735832
TIMESTAMP: 16.700000, X: -5.631631, Y: 3.801334, Z: -3.276326, PITCH: 0.127770, YAW: -2.746857
TIMESTAMP: 16.800000, X: -5.617520, Y: 3.658924, Z: -3.224543, PITCH: 0.127445, YAW: -2.755436
TIMESTAMP: 16.900000, X: -5.608409, Y: 3.517236, Z: -3.177173, PITCH: 0.127142, YAW: -2.763420
TIMESTAMP: 17.000000, X: -5.604380, Y: 3.376728, Z: -3.134187, PITCH: 0.126804, YAW: -2.772332
TIMESTAMP: 17.100000, X: -5.605491, Y: 3.237861, Z: -3.095542, PITCH: 0.126453, YAW: -2.781572
TIMESTAMP: 17.200000, X: -5.611773, Y: 3.101096, Z: -3.061178, PITCH: 0.126120, YAW: -2.790353
TIMESTAMP: 17.300000, X: -5.623236, Y: 2.966890, Z: -3.031018, PITCH: 0.125793, YAW: -2.798967
TIMESTAMP: 17.400000, X: -5.639859, Y: 2.835691, Z: -3.004972, PITCH: 0.125457, YAW: -2.807816
TIMESTAMP: 17.500000, X: -5.661597, Y: 2.707936, Z: -2.982932, PITCH: 0.125119, YAW: -2.816737
TIMESTAMP: 17.600000, X: -5.688375, Y: 2.584045, Z: -2.964776, PITCH: 0.124785, YAW: -2.825545
TIMESTAMP: 17.700000, X: -5.720091, Y: 2.464421, Z: -2.950370, PITCH: 0.124451, YAW: -2.834346
TIMESTAMP: 17.800000, X: -5.756615, Y: 2.349440, Z: -2.939563, PITCH: 0.124115, YAW: -2.843187
TIMESTAMP: 17.900000, X: -5.797788, Y: 2.239456, Z: -2.932191, PITCH: 0.123782, YAW: -2.851970
TIMESTAMP: 18.000000, X: -5.843425, Y: 2.134791, Z: -2.928078, PITCH: 0.123448, YAW: -2.860773
TIMESTAMP: 18.100000, X: -5.893312, Y: 2.035732, Z: -2.927035, PITCH: 0.123108, YAW: -2.869720
TIMESTAMP: 18.200000, X: -5.947207, Y: 1.942533, Z: -2.928864, PITCH: 0.122772, YAW: -2.878580
TIMESTAMP: 18.300000, X: -6.004846, Y: 1.855409, Z: -2.933352, PITCH: 0.122447, YAW: -2.887151
TIMESTAMP: 18.400000, X: -6.065934, Y: 1.774531, Z: -2.940280, PITCH: 0.122115, YAW: -2.895912
TIMESTAMP: 18.500000, X: -6.130158, Y: 1.700029, Z: -2.949417, PITCH: 0.121761, YAW: -2.905219
TIMESTAMP: 18.600000, X: -6.197179, Y: 1.631989, Z: -2.960526, PITCH: 0.121422, YAW: -2.914156
TIMESTAMP: 18.700000, X: -6.266637, Y: 1.570447, Z: -2.973363, PITCH: 0.121121, YAW: -2.922101
TIMESTAMP: 18.800000, X: -6.338154, Y: 1.515397, Z: -2.987677, PITCH: 0.120792, YAW: -2.930766
TIMESTAMP: 18.900000, X: -6.411334, Y: 1.466782, Z: -3.003212, PITCH: 0.120408, YAW: -2.940896
TIMESTAMP: 19.000000, X: -6.485764, Y: 1.424498, Z: -3.019711, PITCH: 0.120133, YAW: -2.948143
TIMESTAMP: 19.100000, X: -6.561021, Y: 1.388395, Z: -3.036911, PITCH: 0.120104, YAW: -2.948895
TIMESTAMP: 19.200000, X: -6.636670, Y: 1.358278, Z: -3.054553, PITCH: 0.120186, YAW: -2.946735
TIMESTAMP: 19.300000, X: -6.712266, Y: 1.333908, Z: -3.072375, PITCH: 0.120198, YAW: -2.946427
TIMESTAMP: 19.400000, X: -6.787363, Y: 1.315004, Z: -3.090118, PITCH: 0.120154, YAW: -2.947582
TIMESTAMP: 19.500000, X: -6.861510, Y: 1.301248, Z: -3.107529, PITCH: 0.120143, YAW: -2.947868
TIMESTAMP: 19.600000, X: -6.934258, Y: 1.292285, Z: -3.124359, PITCH: 0.120162, YAW: -2.947385
TIMESTAMP: 19.700000, X: -7.005161, Y: 1.287731, Z: -3.140365, PITCH: 0.120163, YAW: -2.947351
TIMESTAMP: 19.800000, X: -7.073783, Y: 1.287171, Z: -3.155314, PITCH: 0.120149, YAW: -2.947729
TIMESTAMP: 19.900000, X: -7.139695, Y: 1.290171, Z: -3.168985, PITCH: 0.120143, YAW: -2.947867
TIMESTAMP: 20.000000, X: -7.202483, Y: 1.296275, Z: -3.181166, PITCH: 0.120146, YAW: -2.947785
TIMESTAMP: 20.100000, X: -7.261752, Y: 1.305013, Z: -3.191660, PITCH: 0.120145, YAW: -2.947831
