TIMESTAMP: 5.100000, X: 0.542185, Y: -0.529519, Z: -7.479161, PITCH: 1.149013, YAW: 1.366555
TIMESTAMP: 5.200000, X: 0.583945, Y: -0.513571, Z: -7.570765, PITCH: 1.159862, YAW: 1.377584
TIMESTAMP: 5.300000, X: 0.629160, Y: -0.495421, Z: -7.657316, PITCH: 1.170968, YAW: 1.387275
TIMESTAMP: 5.400000, X: 0.677830, Y: -0.475141, Z: -7.738546, PITCH: 1.180977, YAW: 1.402663
TIMESTAMP: 5.500000, X: 0.729943, Y: -0.452822, Z: -7.814223, PITCH: 1.190477, YAW: 1.420705
TIMESTAMP: 5.600000, X: 0.785466, Y: -0.428577, Z: -7.884147, PITCH: 1.202092, YAW: 1.427742
TIMESTAMP: 5.700000, X: 0.844349, Y: -0.402542, Z: -7.948155, PITCH: 1.214802, YAW: 1.429096
TIMESTAMP: 5.800000, X: 0.906524, Y: -0.374871, Z: -8.006119, PITCH: 1.222232, YAW: 1.457895
TIMESTAMP: 5.900000, X: 0.971906, Y: -0.345739, Z: -8.057947, PITCH: 1.220961, YAW: 1.531988
TIMESTAMP: 6.000000, X: 1.040391, Y: -0.315342, Z: -8.103584, PITCH: 1.215741, YAW: 1.626461
TIMESTAMP: 6.100000, X: 1.111860, Y: -0.283892, Z: -8.143011, PITCH: 1.212411, YAW: 1.711028
TIMESTAMP: 6.200000, X: 1.186176, Y: -0.251622, Z: -8.176245, PITCH: 1.210938, YAW: 1.786370
TIMESTAMP: 6.300000, X: 1.263186, Y: -0.218777, Z: -8.203335, PITCH: 1.208651, YAW: 1.865889
TIMESTAMP: 6.400000, X: 1.342724, Y: -0.185620, Z: -8.224366, PITCH: 1.205402, YAW: 1.949896
TIMESTAMP: 6.500000, X: 1.424607, Y: -0.152426, Z: -8.239451, PITCH: 1.202566, YAW: 2.031873
TIMESTAMP: 6.600000, X: 1.508641, Y: -0.119482, Z: -8.248734, PITCH: 1.200240, YAW: 2.111699
TIMESTAMP: 6.700000, X: 1.594617, Y: -0.087083, Z: -8.252387, PITCH: 1.197697, YAW: 2.192514
